SinchManufacturerID|ManufacturerName|ThumbImageUrl
1|HP|http://images.stockinthechannel.com/pic/9p-TWV2FiUmy6Oou48GM3A.c-t.jpg
2|Toshiba|http://images.stockinthechannel.com/pic/rSrXgYGBE0ex_ncjVh-lwQ.c-t.jpg
3|IBM|http://images.stockinthechannel.com/pic/g6kwfKx55ECTeJQgJ9kLEw.c-t.jpg
4|Sony|http://images.stockinthechannel.com/pic/2Fe3ZmM_6EatffERN4CTVw.c-t.jpg
5|3com|http://images.stockinthechannel.com/pic/e1p5BRJgrkC0ueI1EpjP0g.c-t.jpg
6|Acer|http://images.stockinthechannel.com/pic/ieTLSrPqD0-gPcndzQ0J5w.c-t.jpg
7|Adobe|http://images.stockinthechannel.com/pic/wiA0EXSdMkGEQC-8-XPelg.c-t.jpg
8|Apple|http://images.stockinthechannel.com/pic/sS5FzSG4RUWxVmbwITUvxQ.c-t.jpg
9|Canon|http://images.stockinthechannel.com/pic/mCwpRr-bPUK5NzGZXsbzeA.c-t.jpg
10|Cisco|http://images.stockinthechannel.com/pic/9zpxLVTrbkW7CGpOfqGO0Q.c-t.jpg
11|Epson|http://images.stockinthechannel.com/pic/YEf7S3Xp4k6IAmy-1lKnXQ.c-t.jpg
12|Freecom|http://images.stockinthechannel.com/pic/m9nAJinRF02rvIl5dAC_oA.c-t.jpg
13|Fujitsu|http://images.stockinthechannel.com/pic/8JhipXMxe0Oz63VnJ93Wxg.c-t.jpg
15|Iomega|http://images.stockinthechannel.com/pic/4Lxz-0GSn0yVVPJJ4YVWGw.c-t.jpg
16|Kingston Technology|http://images.stockinthechannel.com/pic/IjCsTYBfrES7WI4hUq1boA.c-t.jpg
17|Kyocera|http://images.stockinthechannel.com/pic/eae-hes5WEq6rcdXoYH0iw.c-t.jpg
18|Lexmark|http://images.stockinthechannel.com/pic/zx-kWvvf1UGp7cbBz4knxg.c-t.jpg
20|Konica Minolta|http://images.stockinthechannel.com/pic/G1f8xSoyr0G4eALztOYZvg.c-t.jpg
21|Oki|http://images.stockinthechannel.com/pic/zR_9xuJ_h0Oqll8C9a0PcQ.c-t.jpg
22|Packard Bell|http://images.stockinthechannel.com/pic/v56eO4kcUkWM_9OlS0hxBA.c-t.jpg
23|Philips|http://images.stockinthechannel.com/pic/8SqwdOT0AEy_-5fHHzrquA.c-t.jpg
24|Samsung|http://images.stockinthechannel.com/pic/9-dhNkRXOEudDKbqUWsoEg.c-t.jpg
25|Seagate|http://images.stockinthechannel.com/pic/eoOEdNjH5ka75d5UK0PE7Q.c-t.jpg
27|Western digital|http://images.stockinthechannel.com/pic/RbsZKMaR-EuUNKzT-UTGIg.c-t.jpg
28|Xerox|http://images.stockinthechannel.com/pic/cxWJYkKDrUCnnO6PIroNuQ.c-t.jpg
29|Pinnacle|http://images.stockinthechannel.com/pic/77Shp9YCzkSUuFCZsG-gLg.c-t.jpg
30|Belkin|http://images.stockinthechannel.com/pic/0x5qRUxDQE-BTCy7EuuSeA.c-t.jpg
31|APC|http://images.stockinthechannel.com/pic/1urizMcIDk-9i-Nw3D-A_g.c-t.jpg
35|Filemaker|http://images.stockinthechannel.com/pic/MEsZkvz0c0KcX-Kro0_1FQ.c-t.jpg
